fid,cngmeters,X,Y
"0",0.000000000000000,"739708","9065516"
"0",100.000000000000000,"739757","9065440"
"0",200.000000000000000,"739814","9065359"
"0",300.000000000000000,"739866","9065278"
"0",400.000000000000000,"739927","9065198"
"0",500.000000000000000,"739973","9065109"
"0",600.000000000000000,"740012","9065017"
"0",700.000000000000000,"740050","9064924"
"0",800.000000000000000,"740093","9064834"
"0",900.000000000000000,"740140","9064746"
"0",1000.000000000000000,"740181","9064655"
"0",1100.000000000000000,"740225","9064566"
"0",1200.000000000000000,"740270","9064476"
"0",1300.000000000000000,"740311","9064385"
"0",1400.000000000000000,"740356","9064296"
"0",1500.000000000000000,"740393","9064204"
"0",1600.000000000000000,"740422","9064108"
"0",1700.000000000000000,"740454","9064013"
"0",1800.000000000000000,"740482","9063918"
"0",1900.000000000000000,"740508","9063821"
"0",2000.000000000000000,"740539","9063726"
"0",2100.000000000000000,"740585","9063638"
"0",2200.000000000000000,"740612","9063542"
"0",2300.000000000000000,"740642","9063447"
"0",2400.000000000000000,"740670","9063351"
"0",2500.000000000000000,"740709","9063259"
"0",2600.000000000000000,"740756","9063171"
"0",2700.000000000000000,"740803","9063082"
"0",2800.000000000000000,"740864","9063003"
"0",2900.000000000000000,"740924","9062926"
"0",3000.000000000000000,"740994","9062855"
"0",3100.000000000000000,"741043","9062769"
"0",3200.000000000000000,"741087","9062683"
"0",3300.000000000000000,"741121","9062589"
"0",3400.000000000000000,"741150","9062493"
"0",3500.000000000000000,"741171","9062396"
"0",3600.000000000000000,"741186","9062297"
"0",3700.000000000000000,"741206","9062199"
"0",3800.000000000000000,"741226","9062101"
"0",3900.000000000000000,"741236","9062002"
"0",4000.000000000000000,"741246","9061903"
"0",4100.000000000000000,"741253","9061803"
"0",4200.000000000000000,"741257","9061703"
"0",4300.000000000000000,"741257","9061603"
"0",4400.000000000000000,"741258","9061503"
"0",4500.000000000000000,"741252","9061403"
"0",4600.000000000000000,"741243","9061304"
"0",4700.000000000000000,"741261","9061206"
"0",4800.000000000000000,"741275","9061107"
"0",4900.000000000000000,"741286","9061008"
"0",5000.000000000000000,"741303","9060909"
"0",5100.000000000000000,"741320","9060811"
"0",5200.000000000000000,"741339","9060712"
"0",5300.000000000000000,"741360","9060615"
"0",5400.000000000000000,"741382","9060517"
"0",5500.000000000000000,"741399","9060419"
"0",5600.000000000000000,"741429","9060324"
"0",5700.000000000000000,"741459","9060228"
"0",5800.000000000000000,"741481","9060131"
"0",5900.000000000000000,"741500","9060033"
"0",6000.000000000000000,"741513","9059934"
"0",6100.000000000000000,"741543","9059840"
"0",6200.000000000000000,"741569","9059744"
"0",6300.000000000000000,"741592","9059647"
"0",6400.000000000000000,"741616","9059550"
"0",6500.000000000000000,"741635","9059452"
"0",6600.000000000000000,"741677","9059362"
"0",6700.000000000000000,"741710","9059283"
"0",6800.000000000000000,"741744","9059189"
"0",6900.000000000000000,"741778","9059095"
"0",7000.000000000000000,"741810","9059000"
"0",7100.000000000000000,"741849","9058908"
"0",7200.000000000000000,"741884","9058815"
"0",7300.000000000000000,"741908","9058714"
"0",7400.000000000000000,"741953","9058627"
"0",7500.000000000000000,"741968","9058529"
"0",7600.000000000000000,"741977","9058430"
"0",7700.000000000000000,"741996","9058332"
"0",7800.000000000000000,"742039","9058242"
"0",7900.000000000000000,"742030","9058143"
"0",8000.000000000000000,"742003","9058047"
"0",8100.000000000000000,"741970","9057953"
"0",8200.000000000000000,"741825","9057926"
"0",8300.000000000000000,"741856","9057819"
"0",8400.000000000000000,"741796","9057740"
"0",8500.000000000000000,"741739","9057657"
"0",8600.000000000000000,"741682","9057575"
"0",8700.000000000000000,"741627","9057492"
"0",8800.000000000000000,"741575","9057406"
"0",8900.000000000000000,"741523","9057321"
"0",9000.000000000000000,"741442","9057216"
"0",9100.000000000000000,"741393","9057120"
"0",9200.000000000000000,"741346","9057048"
"0",9300.000000000000000,"741313","9056939"
"0",9400.000000000000000,"741272","9056848"
"0",9500.000000000000000,"741221","9056762"
"0",9600.000000000000000,"741171","9056675"
"0",9700.000000000000000,"741122","9056588"
"0",9800.000000000000000,"741065","9056506"
"0",9900.000000000000000,"740998","9056432"
"0",10000.000000000000000,"740923","9056367"
"0",10100.000000000000000,"740847","9056302"
"0",10200.000000000000000,"740772","9056236"
"0",10300.000000000000000,"740697","9056170"
"0",10400.000000000000000,"740622","9056103"
"0",10500.000000000000000,"740548","9056037"
"0",10600.000000000000000,"740473","9055969"
"0",10700.000000000000000,"740398","9055903"
"0",10800.000000000000000,"740311","9055849"
"0",10900.000000000000000,"740262","9055800"
"0",11000.000000000000000,"740182","9055745"
"0",11100.000000000000000,"740095","9055698"
"0",11200.000000000000000,"740008","9055650"
"0",11300.000000000000000,"739915","9055608"
"0",11400.000000000000000,"739827","9055575"
"0",11500.000000000000000,"739735","9055551"
"0",11600.000000000000000,"739637","9055539"
"0",11700.000000000000000,"739540","9055519"
"0",11800.000000000000000,"739439","9055502"
"0",11900.000000000000000,"739343","9055476"
"0",12000.000000000000000,"739251","9055440"
"0",12100.000000000000000,"739161","9055404"
"0",12200.000000000000000,"739066","9055365"
"0",12300.000000000000000,"738976","9055332"
"1",0.000000000000000,"737477","9054305"
"1",100.000000000000000,"737594","9054319"
"1",200.000000000000000,"737682","9054360"
"1",300.000000000000000,"737753","9054420"
"1",400.000000000000000,"737839","9054481"
"1",500.000000000000000,"737919","9054544"
"1",600.000000000000000,"737998","9054601"
"1",700.000000000000000,"738086","9054648"
"1",800.000000000000000,"738176","9054696"
"1",900.000000000000000,"738252","9054760"
"2",0.000000000000000,"736630","9053759"
"2",100.000000000000000,"736543","9053710"
"2",200.000000000000000,"736467","9053665"
"2",300.000000000000000,"736373","9053612"
"2",400.000000000000000,"736292","9053568"
"2",500.000000000000000,"736212","9053520"
"2",600.000000000000000,"736119","9053476"
"2",700.000000000000000,"736032","9053427"
"2",800.000000000000000,"735944","9053379"
"2",900.000000000000000,"735854","9053330"
"2",1000.000000000000000,"735772","9053275"
"2",1100.000000000000000,"735683","9053228"
"2",1200.000000000000000,"735618","9053162"
"3",0.000000000000000,"734393","9052517"
"3",100.000000000000000,"734479","9052552"
"3",200.000000000000000,"734572","9052592"
"3",300.000000000000000,"734663","9052631"
"3",400.000000000000000,"734766","9052654"
"3",500.000000000000000,"734867","9052664"
"3",600.000000000000000,"734957","9052689"
"3",700.000000000000000,"735041","9052740"
"4",0.000000000000000,"732617","9050642"
"4",100.000000000000000,"732678","9050741"
"4",200.000000000000000,"732789","9050760"
"4",300.000000000000000,"732869","9050819"
"4",400.000000000000000,"732943","9050873"
"4",500.000000000000000,"732995","9050950"
"4",600.000000000000000,"733034","9051044"
"4",700.000000000000000,"733057","9051137"
"4",800.000000000000000,"733088","9051230"
"5",0.000000000000000,"731069","9048090"
"5",100.000000000000000,"731069","9048188"
"5",200.000000000000000,"731034","9048283"
"5",300.000000000000000,"731029","9048383"
"5",400.000000000000000,"731009","9048481"
"5",500.000000000000000,"731004","9048581"
"5",600.000000000000000,"731005","9048681"
"5",700.000000000000000,"731002","9048781"
"5",800.000000000000000,"731029","9048875"
"6",0.000000000000000,"731038","9047932"
"6",100.000000000000000,"731001","9047858"
"6",200.000000000000000,"730941","9047778"
"6",300.000000000000000,"730878","9047699"
"6",400.000000000000000,"730819","9047618"
"7",0.000000000000000,"730606","9046946"
"7",100.000000000000000,"730616","9047018"
"7",200.000000000000000,"730628","9047118"
"7",300.000000000000000,"730640","9047216"
"7",400.000000000000000,"730675","9047309"
"7",500.000000000000000,"731000","9045411"
"7",600.000000000000000,"731000","9045411"
"7",700.000000000000000,"731059","9045501"
"7",800.000000000000000,"731074","9045590"
"7",900.000000000000000,"731102","9045681"
"7",1000.000000000000000,"731056","9045775"
"7",1100.000000000000000,"730999","9045857"
"7",1200.000000000000000,"730950","9045944"
"7",1300.000000000000000,"730897","9046028"
"7",1400.000000000000000,"730850","9046118"
"7",1500.000000000000000,"730789","9046200"
"7",1600.000000000000000,"730761","9046296"
"7",1700.000000000000000,"730724","9046389"
"7",1800.000000000000000,"730692","9046484"
"7",1900.000000000000000,"730663","9046579"
"7",2000.000000000000000,"730638","9046676"
"7",2100.000000000000000,"730618","9046774"
"7",2200.000000000000000,"730603","9046847"
"8",0.000000000000000,"731251","9045071"
"8",100.000000000000000,"731160","9045122"
"8",200.000000000000000,"731124","9045207"
"8",300.000000000000000,"730965","9045217"
"8",400.000000000000000,"730904","9045139"
"8",500.000000000000000,"730838","9045064"
"8",600.000000000000000,"730767","9044993"
"8",700.000000000000000,"730678","9044948"
"8",800.000000000000000,"730587","9044906"
"8",900.000000000000000,"730496","9044865"
"8",1000.000000000000000,"730408","9044819"
"8",1100.000000000000000,"730321","9044768"
"8",1200.000000000000000,"730235","9044718"
"8",1300.000000000000000,"730149","9044667"
"8",1400.000000000000000,"730089","9044610"
