datetime,vis,sst,wind_gust
2023-06-15 18:00:00,24134.87,29.5,4.6
2023-06-15 19:00:00,24134.87,29.5,4.87
2023-06-15 20:00:00,24134.88,29.56,5.14
2023-06-15 21:00:00,24134.88,29.56,5.4
2023-06-15 22:00:00,24134.88,29.56,5.14
2023-06-15 23:00:00,24134.9,29.88,4.87
2023-06-16 00:00:00,24134.9,29.88,4.6
2023-06-16 01:00:00,24134.9,29.88,4.6
2023-06-16 02:00:00,24134.74,30.05,4.6
2023-06-16 03:00:00,24134.74,30.05,4.6
2023-06-16 04:00:00,24134.74,30.05,4.24
2023-06-16 05:00:00,24134.88,29.57,3.88
2023-06-16 06:00:00,24134.88,29.57,3.51
2023-06-16 07:00:00,24134.88,29.57,3.95
2023-06-16 08:00:00,7780.11,29.55,4.38
2023-06-16 09:00:00,7780.11,29.55,4.82
2023-06-16 10:00:00,7780.11,29.55,4.55
2023-06-16 11:00:00,24135.3,29.55,4.28
2023-06-16 12:00:00,24135.3,29.55,4.01
2023-06-16 13:00:00,24135.3,29.55,3.85
2023-06-16 14:00:00,24134.86,29.45,3.69
2023-06-16 15:00:00,24134.86,29.45,3.53
2023-06-16 16:00:00,24134.86,29.45,3.73
2023-06-16 17:00:00,24134.77,29.45,3.92
2023-06-16 18:00:00,24134.77,29.45,4.11
2023-06-16 19:00:00,24134.77,29.45,4.14
2023-06-16 20:00:00,17851.26,29.56,4.17
2023-06-16 21:00:00,17851.26,29.56,4.2
2023-06-16 22:00:00,17851.26,29.56,4.04
2023-06-16 23:00:00,24134.99,30.05,3.87
2023-06-17 00:00:00,24134.99,30.05,3.71
2023-06-17 01:00:00,24134.99,30.05,3.74
2023-06-17 02:00:00,24135.14,30.26,3.77
2023-06-17 03:00:00,24135.14,30.26,3.8
2023-06-17 04:00:00,24135.14,30.26,3.8
2023-06-17 05:00:00,24135.01,29.45,3.8
2023-06-17 06:00:00,24135.01,29.45,3.8
2023-06-17 07:00:00,24135.01,29.45,3.87
2023-06-17 08:00:00,24134.69,29.55,3.94
2023-06-17 09:00:00,24134.69,29.55,4.0
2023-06-17 10:00:00,24134.69,29.55,3.87
2023-06-17 11:00:00,24135.08,29.42,3.74
2023-06-17 12:00:00,24135.08,29.42,3.61
2023-06-17 13:00:00,24135.08,29.42,3.48
2023-06-17 14:00:00,24134.82,29.45,3.35
2023-06-17 15:00:00,24134.82,29.45,3.22
2023-06-17 16:00:00,24134.82,29.45,3.28
2023-06-17 17:00:00,24134.99,29.45,3.35
2023-06-17 18:00:00,24134.99,29.45,3.41
2023-06-17 19:00:00,24134.99,29.45,3.38
2023-06-17 20:00:00,24134.77,29.56,3.34
2023-06-17 21:00:00,24134.77,29.56,3.3
2023-06-17 22:00:00,24134.77,29.56,3.24
2023-06-17 23:00:00,24135.09,30.11,3.17
2023-06-18 00:00:00,24135.09,30.11,3.11
2023-06-18 01:00:00,24135.09,30.11,3.04
2023-06-18 02:00:00,24134.99,30.55,2.98
2023-06-18 03:00:00,24134.99,30.55,2.92
2023-06-18 04:00:00,24134.99,30.55,3.05
2023-06-18 05:00:00,24135.04,29.66,3.18
2023-06-18 06:00:00,24135.04,29.66,3.31
2023-06-18 07:00:00,24135.04,29.66,3.51
2023-06-18 08:00:00,17916.39,29.46,3.71
2023-06-18 09:00:00,17916.39,29.46,3.9
2023-06-18 10:00:00,17916.39,29.46,3.84
2023-06-18 11:00:00,24135.01,29.44,3.77
2023-06-18 12:00:00,24135.01,29.44,3.7
2023-06-18 13:00:00,24135.01,29.44,3.67
2023-06-18 14:00:00,24134.8,29.45,3.64
2023-06-18 15:00:00,24134.8,29.45,3.61
2023-06-18 16:00:00,24134.8,29.45,3.74
2023-06-18 17:00:00,24134.77,29.45,3.88
2023-06-18 18:00:00,24134.77,29.45,4.01
2023-06-18 19:00:00,24134.77,29.45,4.08
2023-06-18 20:00:00,24135.1,29.55,4.14
2023-06-18 21:00:00,24135.1,29.55,4.21
2023-06-18 22:00:00,24135.1,29.55,4.24
2023-06-18 23:00:00,24135.14,29.85,4.28
2023-06-19 00:00:00,24135.14,29.85,4.31
2023-06-19 01:00:00,24135.14,29.85,4.01
2023-06-19 02:00:00,24135.06,30.05,3.71
2023-06-19 03:00:00,24135.06,30.05,3.4
2023-06-19 04:00:00,24135.06,30.05,3.44
2023-06-19 05:00:00,24135.16,29.45,3.47
2023-06-19 06:00:00,24135.16,29.45,3.5
2023-06-19 07:00:00,24135.16,29.45,3.57
2023-06-19 08:00:00,24135.3,29.45,3.63
2023-06-19 09:00:00,24135.3,29.45,3.7
2023-06-19 10:00:00,24135.3,29.45,3.74
2023-06-19 11:00:00,24135.21,29.45,3.77
2023-06-19 12:00:00,24135.21,29.45,3.81
2023-06-19 13:00:00,24135.21,29.45,3.81
2023-06-19 14:00:00,24134.9,29.45,3.81
2023-06-19 15:00:00,24134.9,29.45,3.81
2023-06-19 16:00:00,24134.9,29.45,4.01
2023-06-19 17:00:00,24134.98,29.44,4.21
2023-06-19 18:00:00,24134.98,29.44,4.41
2023-06-19 19:00:00,24134.98,29.44,4.55
2023-06-19 20:00:00,24135.14,29.46,4.68
2023-06-19 21:00:00,24135.14,29.46,4.82
2023-06-19 22:00:00,24135.14,29.46,4.85
2023-06-19 23:00:00,24135.1,29.75,4.88
2023-06-20 00:00:00,24135.1,29.75,4.9
2023-06-20 01:00:00,24135.1,29.75,4.97
2023-06-20 02:00:00,24134.83,29.85,5.04
2023-06-20 03:00:00,24134.83,29.85,5.11
2023-06-20 04:00:00,24134.83,29.85,5.41
2023-06-20 05:00:00,24134.97,29.46,5.71
2023-06-20 06:00:00,24134.97,29.46,6.01
2023-06-20 07:00:00,24134.97,29.46,6.05
2023-06-20 08:00:00,24135.04,29.45,6.08
2023-06-20 09:00:00,24135.04,29.45,6.11
2023-06-20 10:00:00,24135.04,29.45,6.14
2023-06-20 11:00:00,24134.98,29.46,6.17
2023-06-20 12:00:00,24134.98,29.46,6.21
2023-06-20 13:00:00,24134.98,29.46,6.32
2023-06-20 14:00:00,24134.96,29.4,6.42
2023-06-20 15:00:00,24134.96,29.4,6.53
2023-06-20 16:00:00,24134.96,29.4,6.59
2023-06-20 17:00:00,24135.12,29.49,6.66
2023-06-20 18:00:00,24135.12,29.49,6.72
2023-06-20 19:00:00,24135.12,29.49,6.78
2023-06-20 20:00:00,24134.85,29.49,6.85
2023-06-20 21:00:00,24134.85,29.49,6.92
2023-06-20 22:00:00,24134.85,29.49,6.85
2023-06-20 23:00:00,21837.42,29.65,6.79
2023-06-21 00:00:00,21837.42,29.65,6.72
2023-06-21 01:00:00,21837.42,29.65,6.51
